2017-05-22 10:03:40,488 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SOAP/tp::HTTP/mp::Plain SOAP/direction::Sender/version::1.3.1
2017-05-22 10:03:40,488 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SOAP/tp::HTTP/mp::SOAP 1.x/direction::Receiver/version::1.1.2
2017-05-22 10:03:40,488 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Encoder/Base64 Encode
2017-05-22 10:03:40,488 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::MessageEndEvent
2017-05-22 10:03:40,488 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name NonLoopingProcess
2017-05-22 10:03:40,488 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name CsvToXmlConverter
2017-05-22 10:03:40,488 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::PKCS#7/CMS Signature-Content Splitter/version::1.0.1
2017-05-22 10:03:40,488 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::ExtensionVariant/cname::sap:RetryHandling/version::1.0.1
2017-05-22 10:03:40,488 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowElementVariant/cname::LocalIntegrationProcess/version::1.1.1
2017-05-22 10:03:40,488 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::HCIOData/tp::HTTP/mp::OData V2/direction::Receiver/version::1.3.0
2017-05-22 10:03:40,489 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name HCIOData
2017-05-22 10:03:40,489 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Ariba
2017-05-22 10:03:40,489 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name LDAP
2017-05-22 10:03:40,489 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SOAP/tp::HTTP/mp::Plain SOAP/direction::Sender/version::1.2.1
2017-05-22 10:03:40,489 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Receiver
2017-05-22 10:03:40,489 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::XSLTMapping/version::1.0.6
2017-05-22 10:03:40,489 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::MulticastRoute/version::1.0.0
2017-05-22 10:03:40,489 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Decoder/ZIP Decompress
2017-05-22 10:03:40,489 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SuccessFactors/tp::HTTP/mp::OData V2/direction::Receiver/version::1.2.1
2017-05-22 10:03:40,491 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name SuccessFactors
2017-05-22 10:03:40,491 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name IDOC
2017-05-22 10:03:40,491 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ODataSender
2017-05-22 10:03:40,491 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowElementVariant/cname::IntegrationProcess/version::1.1.1
2017-05-22 10:03:40,491 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::get/version::1.1.1
2017-05-22 10:03:40,491 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::GeneralSplitter/version::1.1.2
2017-10-07 23:39:16,959 [Worker-1] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Updating Profile SAP Financial Services Network
2017-10-07 23:39:17,042 [Worker-1] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Registering Profile SAP Financial Services Network
2017-10-07 23:39:19,012 [Worker-1] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Updating Profile SAP Cloud Platform Integration
2017-10-07 23:39:19,012 [Worker-1] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Registering Profile SAP Cloud Platform Integration
2017-10-07 23:39:19,012 [Worker-1] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name PrincipalPropagationProviderUtilSupport
2017-10-07 23:39:19,013 [Worker-1] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name SAP:Twitter
2017-10-07 23:39:19,013 [Worker-1] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ErrorEndEvent
2017-10-07 23:39:19,013 [Worker-1] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Request-Reply
2017-10-07 23:39:19,013 [Worker-1] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::XSLTMapping/version::1.0.6
2017-10-07 23:39:19,013 [Worker-1] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::TerminateEndEvent
2017-10-07 23:39:19,013 [Worker-1] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::MessageEndEvent
2017-10-07 23:39:19,013 [Worker-1] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name MessageDigest
